대여소 그룹,팀명,대여소 명,대여 건수
강동구,천호1팀,1034. 고덕동 래미안 힐스테이트,635
노원구,도봉2팀,2907. 월계중학교,635
관악구,영남2팀,2143. 서울산업정보학교,636
용산구,세종로3팀,867.서빙고역 광장(1번출구),639
성동구,중랑2팀,522. 금호역 1번출구 앞,640
강서구,개화2팀,1161. 강서면허시험장 앞,640
중랑구,중랑3팀,4811. 한양수자인아파트 앞,641
종로구,훈련원1팀,364. 창신역 1번출구 앞,642
노원구,도봉2팀,4040. 공릉로 26길,644
마포구,상암1팀,4248. 신촌 교보빌딩,644
동작구,이수2팀,2094.숭실대학교(중문),644
중구,세종로2팀,4776. 신세계면세점,646
종로구,세종로1팀,4715. 돈의문 박물관 마을,646
성북구,훈련원2팀,1323. 월곡역 입구 육교 밑,646
동작구,이수2팀,2048. 삼일초등학교 인근,647
중구,세종로 4팀,4766. 서소문성지역사박물관,648
금천구,천왕2팀,1849. 대륭포스트타워5차,650
강남구,학여울1팀,2336. 강남세브란스교차로 래미안그레이튼 104동 앞,653
강서구,개화2팀,3799. 국립항공박물관,653
강남구,학여울1팀,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),654
중구,세종로2팀,4775. 을지로지하쇼핑센터,654
은평구,상암3팀,942. 상림마을 생태공원,655
서초구,이수3팀,2521.서초 크로바타워 앞,655
동작구,이수2팀,2088.상도중앙하이츠빌 입구,656
강남구,학여울1팀,2326. 대치동 삼성로,656
송파구,학여울2팀,4475. 송파파인타운 4단지 403동,658
구로구,천왕1팀,2822.제니스스포츠 앞,658
구로구,천왕1팀,1943. 온수역 북측,660
영등포구,영남3팀,4573. 두산위브아파트,660
중구,세종로2팀,470.회현역 7번출구,661
서대문구,상암1팀,3134.SK리쳄블(상수도사업본부),662
중구,훈련원1팀,479.동대입구역 3번 출구,662
강동구,천호1팀,3692. 둔촌오륜역 1번 출구,664
강남구,학여울1팀,2370. 한티역 3번출구,664
중랑구,중랑3팀,1426. 면목도시개발아파트 1동 앞,665
용산구,세종로3팀,802. 한강진역 2번 출구 앞,666
강북구,도봉4팀,1539. 4.19민주묘지역,666
강동구,천호1팀,1069.강동경희대학교병원 입구,668
강남구,학여울1팀,2428.롯데리아 개포점앞,668
강서구,개화2팀,3765. 문소빌딩,669
노원구,도봉1팀,1652. 파르코 앞,669
도봉구,도봉3팀,4084. 도봉동실내스포츠센터,673
종로구,훈련원1팀,388. 동성중학교 앞,674
강남구,학여울1팀,2430.강남파이낸스센터앞(역삼역2번출구),676
노원구,도봉2팀,1679. 삼육대 도서관,676
강남구,학여울1팀,2358. 구룡초사거리 (현대아파트10동 앞 ),677
서초구,이수3팀,2298. 래미안서초스위트앞,679
강남구,학여울2팀,3641. 대청역,682
강동구,천호1팀,3674. 강동리버스트7단지,682
금천구,천왕3팀,1843. 독산고등학교,682
은평구,상암3팀,947. 연신내 선일하이츠빌 정류소,684
강남구,학여울1팀,2381. 언주역 6번출구앞,684
강남구,학여울1팀,3636. 삼성중앙역·플래티넘아파트 정류소,688
용산구,세종로3팀,869.노들섬 동측 앞,689
동작구,이수2팀,2062. 사당새마을금고,689
강북구,도봉4팀,1546. 송천동우체국,689
노원구,도봉2팀,4017. 월계 청백1단지 아파트 정류장,691
종로구,세종로1팀,451. 청와대앞길,691
은평구,상암3팀,966. 서울혁신파크1,691
송파구,학여울2팀,1239. 문정 법조단지3,694
중구,세종로2팀,466.롯데호텔,694
송파구,천호2팀,2614. 가락고등학교 앞,696
서초구,이수1팀,2205. 내곡3단지 어린이공원 앞,697
성동구,중랑2팀,526. 용답토속공원 앞,699
중구,훈련원1팀,480.약수역 6번 출구,699
강동구,천호1팀,3688. 상일동산(동아아파트앞 교차로),699
강남구,학여울1팀,2307. 압구정 한양 3차 아파트,700
서대문구,상암1팀,196. 연희교차로 인근,700
서대문구,상암1팀,159. 이대역 4번 출구,701
은평구,상암3팀,993.은평뉴타운 은뜨락아파트앞,701
강남구,학여울1팀,2309. 청담역(우리들병원 앞),702
중랑구,중랑3팀,1466.두산대림아파트 삼거리,702
성북구,훈련원2팀,1367. 길음문화복합미디어센터,703
양천구,영남1팀,4539. 목동7단지아파트 A상가,704
송파구,천호2팀,1279. 마천금호어울림 1차아파트 건너편,705
성북구,훈련원2팀,1386.동선고가차도 초입,706
용산구,세종로3팀,863.이촌역2번 출구,706
광진구,중랑1팀,572. 국립정신 건강센터 앞,707
영등포구,영남3팀,4599. 대림우성아파트 사거리,708
성북구,훈련원2팀,1391.성북청소년센터,709
강서구,개화2팀,5072. 김포공항입구 교통섬,711
강남구,학여울1팀,2388. 강남구 도시관리공단,711
관악구,영남2팀,3807. 관악우체국 교차로,712
강북구,도봉4팀,1547. 꿈의숲 롯데캐슬,712
서초구,이수3팀,2280. 서울서초고용센터앞,713
은평구,상암2팀,971. 역촌 센트레빌 아파트,713
은평구,상암3팀,964. 북한산힐스테이트 7차아파트,713
도봉구,도봉3팀,1761.방학중학교 앞,714
서초구,이수3팀,2502. 서초역1번출구 앞,714
영등포구,영남3팀,295.영등포공원 분수대 앞,715
성북구,훈련원2팀,1315. 고려사대부속중고 정문,716
강남구,학여울1팀,2318. 삼성중앙역4번출구(문화센터더 리빌),716
양천구,개화2팀,741. 화곡로 입구 교차로,717
용산구,세종로 4팀,866.브라운스톤 남산아파트,717
구로구,천왕2팀,2826.가마산지하보도 옆,718
중구,세종로 4팀,4781. 브라운스위트레지던스,718
강북구,도봉4팀,1504. 다이소 삼양시장점,718
송파구,천호2팀,1213. 백토공원 앞,719
영등포구,영남3팀,4591. 신길자이아파트,720
동작구,영남2팀,2057. 상도 아이파크 아파트,721
강남구,학여울1팀,3638. 신청담나들목,725
동작구,영남2팀,4152. 상도효성해링턴플레이스,726
성북구,훈련원2팀,1347. 길음래미안아파트817동 상가 앞,727
중랑구,중랑3팀,4838.동원사거리 행복오피스텔 앞,727
강남구,이수1팀,3609. 언주초등학교 입구,727
마포구,상암1팀,120. 신수동 사거리,734
구로구,천왕1팀,1968. 동인오피스텔 건너편 소공원,736
서초구,이수1팀,2549.LH 서초 4단지 403동,736
중구,세종로2팀,4785. 롯데시티호텔,736
강동구,천호1팀,3675. 강동리버스트8단지,737
중구,세종로1팀,4753. 우리은행 서소문금융센터,738
강남구,학여울1팀,3604. 삼성중앙역 5번출구,739
강남구,학여울2팀,3640. 일원1동주민센터앞 사거리,740
은평구,상암3팀,941. 은평뉴타운 도서관,741
강서구,개화1팀,2716.롯데 R&D 센터,742
금천구,천왕3팀,1826. 한신코아 앞,744
서초구,이수1팀,2550.양재동 꽃시장 건너편,745
중랑구,중랑3팀,1479.면목 홈플러스 2,745
종로구,훈련원1팀,397. 종묘공영주차장 건너편,746
은평구,상암2팀,4678. 백련산로 녹번센트레빌,748
성북구,훈련원2팀,1357. 북한산보국문역,748
구로구,천왕2팀,1976. 남구로역 5번 출입구 앞,749
도봉구,도봉3팀,4075. 방학신동아아파트 11동 앞,749
서초구,이수2팀,2281. 연세사랑병원신관앞,749
송파구,천호2팀,2616. 거여동 사거리,751
강서구,개화1팀,1105. 방화근린공원,753
도봉구,도봉3팀,1774.반석교회(쌍문동),753
성동구,중랑2팀,535. 응봉삼거리,753
노원구,도봉2팀,4045. 은하수 공원,754
구로구,천왕1팀,2815.항동지구 7단지 정문,756
성동구,중랑2팀,594. 중랑물재생센터(서울새활용플라자),756
영등포구,영남3팀,4555. 대림우성2차아파트,757
서초구,이수3팀,2212.서초현대4차아파트 201동 맞은편,758
성동구,중랑2팀,524. 래미안금호하이리버 아파트 102동 옆,758
서대문구,상암2팀,3107. 연희초등학교 앞,760
강북구,도봉4팀,1525. 미아동 복합청사,760
강남구,학여울1팀,2339. 현대아파트 정문 앞,761
송파구,천호2팀,1289. 풍납토성 서성벽터B,762
강동구,천호1팀,3653. 강동리버스트4단지아파트 404동 앞,763
용산구,세종로3팀,857. 현대 안성타워,765
구로구,천왕1팀,3906. 천왕차량사업소 입구,765
강동구,천호1팀,3690. 강일역 4번출구,765
강동구,천호1팀,1067.한영중고앞사거리,767
강북구,도봉4팀,1542. 삼양사거리역,767
서초구,이수1팀,4320. 신영체르니 아파트,767
강북구,도봉4팀,1528. 삼각산동 주민센터,769
구로구,천왕1팀,1973. 오리로와 서해안도로 교차로 앞,769
관악구,영남2팀,2137. KT&G 관악지점,770
금천구,천왕3팀,1845. 롯데캐슬골드파크1차 서문,771
서초구,이수1팀,2501. 서초 포레스타5단지,771
강동구,천호1팀,1065.보훈병원 후문옆(더 원커피),771
서초구,이수1팀,2539.대한무역투자진흥공사 KOTRA 앞,772
강동구,천호1팀,1063.강동롯데캐슬퍼스트 아파트(관리동),772
은평구,상암3팀,995.은평다목적체육관,774
광진구,중랑1팀,3543. 세종대학교(학술정보원),775
강서구,개화1팀,3776. 김포공항교차로,777
노원구,도봉1팀,1664. 노해근린공원내,777
강서구,개화3팀,1183. KC 대학교,778
강남구,학여울1팀,2353. 강남구청역 2번출구 뒤,779
송파구,천호2팀,4474. 가락현대 1차 11동 앞,779
성북구,훈련원2팀,1325. 상월곡역 4번출구,780
중랑구,중랑3팀,1441. 신내능말공원,780
강북구,도봉4팀,1509. 서울북부수도사업소,781
중구,세종로2팀,322. 명동성당 앞,781
중랑구,중랑3팀,1421. 신내역 4번출구,783
서초구,이수1팀,2246. 서울시 품질시험소 앞,783
강남구,학여울1팀,2360. 도곡1동 주민센터 교차로,783
성동구,중랑2팀,3557.서울숲리버뷰자이APT105동 앞,784
양천구,천왕1팀,760. 잣절보도육교 아래,784
송파구,천호2팀,4485. 잠실나루역 고가하부,785
광진구,중랑1팀,575. 대원중고교 입구(대하빌딩),788
은평구,상암3팀,4676. 갈현1동 주민센터,788
강동구,천호1팀,3655. 둔촌신성미소지움아파트,788
금천구,천왕3팀,1825. 한신아파트 앞 육교 아래,790
송파구,천호2팀,4454. 위례 포레샤인 1809동 부근,790
서초구,이수3팀,2233. 서초신동아1차아파트 옆,791
강남구,학여울1팀,2389. 경기여자고등학교 후문 (삼성로3길 입구),792
서대문구,상암2팀,169. 북가좌 삼거리,792
서대문구,상암1팀,137. 신촌기차역입구 교차로,792
송파구,학여울2팀,1241. 문정 법조단지5,792
송파구,천호2팀,4862. 성내교 남단,792
마포구,상암1팀,425. DMC첨단산업센터,793
강북구,도봉4팀,1537. 북한산 우이역,795
관악구,영남2팀,2190.도원맨션,796
서대문구,상암2팀,167. 연가초등학교 옆,797
중구,훈련원1팀,477.앰배서더 호텔 주변,798
강서구,개화1팀,3801. 이랜드글로벌R&D센터,798
성동구,중랑2팀,533. 금남시장 교차로,798
도봉구,도봉3팀,1713. 쌍문동 이안아파트 앞,798
노원구,도봉2팀,4033. 녹천역 4번 출구 옆,800
강남구,학여울1팀,2310. 청담동 맥도날드 옆(위치),800
강남구,학여울2팀,2344. 리엔파크 2단지 앞,800
동대문구,훈련원3팀,4116. 이문e편한세상아파트 앞,804
서초구,이수3팀,2272. 교대입구 교차로,804
동대문구,훈련원4팀,638. 서울시립대 정보기술관,805
강남구,학여울2팀,2337. 대모산입구역 2번출구 앞,806
양천구,개화4팀,745. 강서초등학교,806
동대문구,훈련원3팀,671.대광빌딩,808
강남구,학여울1팀,2323. 주식회사 오뚜기 정문 앞,810
금천구,천왕3팀,3980. 금천현대홈타운 후문 서부샛길,811
마포구,상암1팀,424. 롯데하이마트 (상암월드컵점),812
마포구,상암1팀,491.월드컵파크 4단지,812
용산구,세종로3팀,4610. 한남나인원 105동 앞,815
은평구,상암2팀,4658. 녹번역1번출구앞,815
서대문구,상암2팀,3127.홍은2파출소 옆,816
강남구,학여울2팀,3643. 더시그넘하우스 앞,816
도봉구,도봉3팀,1732. 우리은행 앞,817
영등포구,영남3팀,3211.신길 래미안 프레비뉴,818
강남구,학여울2팀,3612. 은곡마을,818
용산구,세종로3팀,808. 서빙고동 금호맨션 앞,819
금천구,천왕3팀,1809. LG전자 별관동(호서대 벤처타워 맞은편),819
관악구,이수2팀,3813. 낙성대역 5번출구,820
강동구,천호1팀,1031. 올림픽로 836(아리수로),821
노원구,도봉2팀,2903.월계초안아파트 1단지,821
강남구,학여울2팀,2426.강남한신휴플러스 6단지,821
강남구,학여울1팀,2331. 동영문화센터앞,822
강남구,학여울2팀,2341. 일원역 4~5번 출구 사이,822
용산구,세종로 4팀,4621. 남산도서관 앞,823
강서구,개화2팀,3797. 마곡수명산파크7단지 710동 앞,823
도봉구,도봉3팀,1759.서울북부지방법원 앞,824
용산구,세종로3팀,4607. 국립중앙박물관 -용산가족공원 앞,824
용산구,세종로3팀,848. 삼각지12번 출구,831
마포구,상암1팀,4207. 아만티호텔 앞,831
서초구,이수3팀,4316. 고속터미널역 3번출구,833
종로구,훈련원1팀,343. 예일빌딩(율곡로) 앞,835
서대문구,상암1팀,160. 북아현동 가구거리,836
구로구,천왕1팀,3903. 현대아파트 앞,837
강동구,천호1팀,3673. 강동리버스트6단지,838
송파구,천호2팀,1275. 거여초등학교 옆,839
광진구,중랑1팀,3588.세종대학교(영실관),839
강동구,천호1팀,1032. 선사고등학교,840
강서구,개화2팀,3770. 남부순환로 205,842
구로구,천왕1팀,3912. 삼호아파트 앞,843
관악구,이수2팀,2129. 낙성대 과학전시관,843
서초구,이수1팀,2243.서울가정법원,844
서초구,이수3팀,2518.서초3교(효령로70길 방면),849
서대문구,상암2팀,163. 명지전문대학교 정문 앞,849
금천구,천왕3팀,1854. 가산아네스트 오피스텔 앞,850
양천구,개화3팀,776.목마공원,852
구로구,천왕1팀,3917. 성공회대학교,852
관악구,영남2팀,2127. 난곡종점,853
강서구,개화3팀,3761. 나이아가라관광호텔,853
노원구,도봉2팀,1693. 원자력 병원,853
강남구,학여울1팀,2356. 강남구청,854
도봉구,도봉3팀,4058. 다락원체육공원 전망대 입구,854
도봉구,도봉3팀,1736. 버스정류장 앞,855
은평구,상암2팀,4665. 응암역3번 출구(서부경찰서 방면),856
송파구,학여울2팀,1287. 위례아이파크 101동 맞은편,857
은평구,상암2팀,975.백련산 힐스테이트상가앞,857
도봉구,도봉3팀,1758.북서울교회 버스정류소 앞,858
서초구,이수3팀,2297. 남부터미널역 1번출구,862
중구,세종로 4팀,441.염천교사거리,865
중구,세종로2팀,468.웨스틴 조선호텔,865
양천구,개화4팀,757. 신정이펜하우스 1단지아파트 입구 사거리,867
서대문구,상암1팀,139. 연세대 정문 건너편,868
강동구,천호1팀,1056. 강일리버파크 7~11단지,868
강남구,학여울1팀,2385. 학동역,870
강북구,도봉4팀,1516. 우이초등학교 후문 옆,870
양천구,개화4팀,790.화곡고가 사거리,871
성북구,훈련원2팀,1344. 아리랑시네센터 앞,872
강남구,학여울2팀,3642. LH강남힐스테이트아파트,873
송파구,학여울2팀,4874. 탄천1교 하부보도,875
서대문구,상암2팀,3129.DMC래미안e편한세상203동옆,875
금천구,천왕3팀,1835. STX V타워,876
송파구,천호2팀,1299. 송파소방서 (방이119안전센터),877
용산구,세종로 4팀,845. 용산 선인상가,878
강동구,천호1팀,1064.중앙보훈병원역 1번출구,879
송파구,천호2팀,1291. 서울체육고등학교 앞,879
은평구,상암3팀,922. 연신내역 4번출구,879
강남구,학여울1팀,3629. 청담사거리(신한오피스텔빌딩 앞),881
중구,세종로2팀,4774. 을지로입구역 8번출구,881
성동구,중랑2팀,4360. 르노삼성자동차 성수사업소 앞,884
서초구,이수3팀,2526.반포경남쇼핑 앞,887
성동구,중랑2팀,538. 답십리역 8번출구 앞,887
송파구,천호2팀,4472. 송파파크데일 1단지 115동 건너편,887
강북구,도봉4팀,1551.4.19탑 앞,890
노원구,도봉1팀,1678. 성서대학교 밀알관,891
동대문구,훈련원4팀,652. 답십리 래미안엘파인아파트 입구,891
도봉구,도봉3팀,1727. 서울도봉초등학교인근,892
도봉구,도봉3팀,1725. 창1동주민센터,894
강동구,천호1팀,1070.(시립)고덕평생학습관,894
용산구,세종로3팀,840. 용산 파크타워 앞,896
종로구,훈련원1팀,3419.국립어린이과학관,896
영등포구,영남3팀,282. 신한은행 대림동지점,898
송파구,학여울2팀,2645.잠실나들목2(엘스아파트136동),901
광진구,중랑1팀,3537. 아차산 휴먼시아 아파트 옆,902
서초구,이수2팀,2229.로고스교회 맞은 편,903
강남구,학여울1팀,2330. 역삼월드메르디앙아파트 앞,903
동작구,이수2팀,2024. 상도역 1번출구,906
관악구,영남2팀,2139. 서울신성초등학교,906
동작구,이수2팀,2069. 숭실대 입구역3번 출구 앞,907
강남구,이수3팀,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),909
송파구,학여울2팀,2625.가락종합 사회복지관,909
중랑구,중랑3팀,4836. 양원역 1번 출구,910
구로구,천왕1팀,1999. 수궁동 성당 주변,911
영등포구,영남1팀,3207.양남사거리1,912
송파구,천호2팀,2643.풍납중학교 측면,913
강동구,천호1팀,1041. 묘곡초등학교,913
관악구,영남2팀,2196. 봉천역 3번출구,914
노원구,도봉2팀,5306. 동신아파트 후문 옆,915
강서구,개화3팀,1137. 등촌2동주민센터,915
송파구,학여울2팀,4887. 호돌이상가,915
강동구,천호1팀,3691. 둔촌역 2번출구,915
광진구,중랑1팀,3880. 홍련봉 공원,919
서초구,이수2팀,2228.뒷벌공원 옆,920
금천구,천왕3팀,1831. 메이퀸웨딩컨벤션 앞,921
금천구,천왕3팀,3977. 말미사거리,922
동대문구,훈련원4팀,606. 휘경공고앞,923
은평구,상암3팀,953. 서울연신초등학교,924
도봉구,도봉3팀,1702. 녹천역 1번출구 앞,925
동작구,영남2팀,2065. 서울시여성가족재단,926
금천구,천왕3팀,1859. 대륭테크노타운 18차,927
송파구,천호2팀,2627.문정시영아파트 5동 앞 공원,929
서대문구,상암2팀,3132.홍제교,930
동대문구,훈련원3팀,667.청량차도 육교 밑,931
서대문구,상암1팀,141. 연대 대운동장 옆,931
중구,세종로2팀,471.회현사거리 남측,932
강남구,학여울1팀,2364. 도산공원교차로,932
서초구,이수3팀,2268. 서초4동주민센터,933
강남구,학여울1팀,2396. 영동3교 북단(우성캐릭터 앞 보도),933
강동구,천호1팀,3676. 강동리엔파크9단지,935
강남구,학여울1팀,4902. 구역삼세무서 교차로,937
마포구,상암1팀,142. 아현역 4번출구 앞,938
서대문구,상암2팀,3122.북가좌삼거리2,938
중구,훈련원1팀,382. 약수역 10번출구 앞,941
용산구,세종로 4팀,4616. 신용산지하차도 앞,941
용산구,세종로3팀,811. 녹사평역1번출구,944
은평구,상암3팀,976.진관고등학교앞,944
종로구,훈련원1팀,337. 창경궁 입구,944
종로구,세종로1팀,3425.광화문 풍림스페이스본 1단지앞,944
광진구,중랑1팀,591. 건국대학교 (행정관),945
서초구,이수3팀,2299. 한전아트센터 앞,946
관악구,이수2팀,2186. 낙성대입구삼거리,948
동대문구,훈련원3팀,636. 세종대왕기념관 교차로,952
강남구,학여울1팀,2373. 개포동역 사거리,952
은평구,상암3팀,927. 연신내역 3번출구 인근,953
강동구,천호1팀,1018. 둔촌 주공 GS 맞은편,953
서초구,이수3팀,4313. 반포종합운동장,953
강동구,천호1팀,1083.광문고교사거리(아이파크),954
강북구,도봉4팀,1543. 수유1동 주민센터,955
동대문구,훈련원4팀,664. 서울시립대 건설공학관,955
송파구,천호2팀,4855. 거여5단지 503동 앞,958
강서구,개화1팀,1198. LG 사이언스파크,959
강남구,학여울2팀,2422.수서동 성당 맞은편,960
마포구,상암1팀,4251. 공덕역 경의선숲길 커뮤니티센터,960
강남구,학여울1팀,2319. 포스코사거리 서측(수협 삼성동 지점),961
서초구,이수1팀,4303. 매헌역 2번출구앞광역버스 정류장앞(22-297),961
구로구,천왕2팀,1916. 구로중학교앞,962
서대문구,상암2팀,4253. 홍은도담도서관,962
강남구,학여울1팀,2320. 도곡역 대치지구대 방향,963
중구,훈련원1팀,347. 동대문역사문화공원역 9번출구 앞,963
송파구,학여울2팀,1285. 위례별 유치원 뒤,963
성북구,훈련원2팀,1302. 한성대입구역6번출구 뒤,963
송파구,천호2팀,4871. 오금동 대림아파트 정문,965
도봉구,도봉3팀,4073.방아골종합사회복지관,968
강북구,도봉4팀,1518. SK telecom(수유직영점) 앞,968
강동구,천호1팀,3694. 강동리엔파크 11단지,971
노원구,도봉2팀,4009. 월계프라자,972
용산구,세종로 4팀,4618. 풍전아파트 건너편,973
영등포구,영남3팀,4578.보라매sk뷰,974
양천구,개화4팀,4534. 월정초교 앞 사거리,975
서초구,이수3팀,2527.반포중학교 앞(세화여고 맞은편),975
은평구,상암3팀,954. 은평뉴타운구파발9단지,975
은평구,상암2팀,965. 서울특별시 은평병원,976
송파구,학여울2팀,1217. 송파파인타운 7단지,977
서초구,이수3팀,2227.방배열린문화센터 앞,977
강남구,학여울1팀,2405. 청담공원앞 교차로,978
서초구,이수3팀,2237.서울남부터미널 대합실 입구,978
영등포구,영남1팀,233. 양평1동 YP센터 앞,979
강동구,천호1팀,3686. 고덕 래미안 힐스테이트(101동),980
용산구,세종로 4팀,4627. 효창공원앞역 5번출구 옆,981
강남구,학여울1팀,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,981
영등포구,영남3팀,298.KBS 연구동 건너편,982
노원구,도봉2팀,1646. 삼육대 입구,983
은평구,상암3팀,946. 독바위역,983
서초구,이수1팀,2293. SPC 앞,984
마포구,상암1팀,413. 상암월드컵파크 3단지 후문,986
양천구,개화4팀,710. 금옥여고보도육교,987
마포구,상암1팀,406. 상암월드컵파크 7단지 앞,987
송파구,천호2팀,4458. 가락2동주민센터 인근,988
은평구,상암3팀,925. 불광역 2번출구,989
종로구,세종로1팀,351. 청운초교 앞 삼거리,990
서초구,이수1팀,2263. 바우뫼문화복지회관,990
서대문구,상암2팀,192. 연서어린이공원,996
강남구,학여울1팀,"2419.봉은사역 1,2번 출구",997
서초구,이수1팀,2250. 서초유치원 맞은편,999
중랑구,중랑3팀,1472.영성빌딩(PAT),1001
강남구,학여울1팀,2313. 금원빌딩 앞,1002
광진구,중랑1팀,3863. 동일로58길 입구,1003
금천구,천왕3팀,3985. 디폴리스 지식산업센터,1004
용산구,세종로 4팀,4603. 한강GS에클라트 건너편 교통섬,1007
구로구,천왕1팀,1993. 금강수목원아파트 앞,1012
양천구,영남1팀,4536. 양천해누리체육공원,1015
송파구,천호2팀,2655.송이공원,1015
종로구,훈련원1팀,452. 동대문 종합시장 버스정류장,1017
강동구,천호1팀,1042. 강일리버파크 2~5단지,1017
동작구,영남2팀,2008. 노량진근린공원 대방공원,1018
중구,훈련원1팀,371. 동대입구역 6번출구 뒤,1019
금천구,천왕3팀,1822. 서울 시흥동우체국 앞,1019
중구,훈련원1팀,4800. 필동 삼거리,1023
서초구,이수3팀,2509. 심산기념문화센터,1024
동작구,이수2팀,4173. 중대후문 마을버스정류장,1025
서초구,이수3팀,4307. 고투몰 gate 15옆,1026
용산구,세종로3팀,"4605. 노들섬 다목적홀(동쪽) 숲, 앞",1026
강서구,개화2팀,5076. 메이필드호텔앞,1028
마포구,상암1팀,4246. 상수역새마을금고,1028
강남구,학여울2팀,2321. 학여울역 사거리,1029
강북구,도봉4팀,3711. 월계2교 교차로,1029
영등포구,영남1팀,3221.서울특별시 남부교육지원청,1030
중구,세종로2팀,331. 을지로2가 사거리 북측,1030
금천구,천왕3팀,1870.독산3동주민센터 앞,1030
강동구,천호1팀,3665. 고덕센트럴 아이파크상가 앞,1030
양천구,개화4팀,720. 서울강월초등학교 앞,1031
동대문구,훈련원3팀,607. 신이문역 2번출구,1031
광진구,중랑1팀,3510. 중곡SK아파트앞,1033
광진구,중랑1팀,555. 구의3동주민센터,1035
강북구,도봉4팀,1574.송중초등학교 옆,1038
영등포구,영남3팀,271. 샛강생태공원방문자센터 앞,1038
관악구,영남2팀,2178. 서울대학교 정문,1039
도봉구,도봉3팀,1751. 창원초등학교 교차로,1043
구로구,천왕2팀,1998. 고척교 교차로,1043
마포구,상암1팀,436. 이대역 5번출구,1047
은평구,상암2팀,909. 백련산 힐스테이트 3차,1049
송파구,천호2팀,4493. 마천사거리 2,1049
도봉구,도봉3팀,1772.시립도봉노인복지관 버스정류소,1049
중랑구,중랑3팀,4835. 망우동 본죽 앞,1054
서초구,이수3팀,2547.포드서초서비스센터앞,1054
은평구,상암3팀,923. 국민은행 연서지점,1055
동대문구,훈련원3팀,4103. 휘경sk뷰아파트 앞,1059
송파구,학여울2팀,4863. 잠실나들목5,1059
금천구,천왕3팀,3969. 독산역 롯데캐슬 104동 앞,1059
강남구,학여울1팀,2312. 청담역 13번 출구 앞,1059
송파구,천호2팀,4462. 가락중학교 앞,1060
성북구,훈련원2팀,1340. 광운초등학교 앞,1063
서대문구,상암2팀,3130.가재울사거리,1063
양천구,개화4팀,712. 강월초교입구 사거리,1064
관악구,영남2팀,2172. 나들목공원,1065
금천구,천왕3팀,3963. 에이스 하드웨어(시흥대로 396) 앞,1065
노원구,도봉1팀,1672. 상계동수락리버시티,1068
강남구,학여울1팀,2325. 대치삼성아파트 앞 교차로,1071
강남구,학여울1팀,2394. 개포래미안포레스트아파트 107동 앞,1071
양천구,개화2팀,4530. 방아다리어린이공원,1072
중구,세종로2팀,332. 을지로2가 사거리 남측,1072
성북구,훈련원2팀,1348. 성북제일새마을금고 본점 앞,1072
강북구,도봉4팀,1554.번동사거리,1073
영등포구,영남3팀,5853. 여의도역2번출구 앞,1073
종로구,세종로1팀,446. 상명대입구,1073
구로구,천왕1팀,3908. 오류동 다숲오피스텔 앞,1074
구로구,천왕1팀,3918. 이좋은집오피스텔 앞,1074
관악구,이수2팀,2128. 관악구청교차로,1075
도봉구,도봉3팀,1770.도봉한신아파트 주변,1075
동대문구,훈련원4팀,4107. 장안동근린공원 입구,1075
서초구,이수3팀,4306. 서래공원 앞,1077
송파구,천호2팀,2617. 가락삼환아파트 앞,1079
송파구,천호2팀,1280. 송파파크데일 2단지입구 앞 주차장,1079
송파구,천호2팀,4499. 세양청마루 101동 앞,1080
서대문구,상암1팀,3115.북아현 치안센터 인근,1081
서초구,이수1팀,2206. 언남초등학교 앞,1082
강북구,도봉4팀,1515. 송천동 주민센터,1082
마포구,상암1팀,4224. 서부운전면허시험장,1083
은평구,상암2팀,979.원풍빌라앞,1084
금천구,천왕2팀,1840. 솔브레인이엔지 뒤편,1085
마포구,상암1팀,121. 마포소방서 앞,1085
관악구,이수2팀,2198.사랑의병원,1085
강동구,천호1팀,1033. 고덕동 아남아파트,1086
양천구,영남1팀,748. 목동운동장,1087
강동구,천호1팀,1049. 강일리버파크 10단지,1087
송파구,학여울2팀,1240. 문정 법조단지4,1088
강동구,천호1팀,1057. 능골근린공원,1088
강서구,개화2팀,1187. 강서수산물도매시장,1088
강남구,이수1팀,"2359. 국립국악중,고교 정문 맞은편",1089
성북구,훈련원2팀,1364. 성북동 치안센터 앞,1090
도봉구,도봉3팀,1719. 신도봉사거리 버스정류장,1092
서초구,이수1팀,2242.양재역 11번 출구 앞,1092
금천구,천왕2팀,1812. 갑을그레이트밸리 앞,1094
마포구,상암1팀,405. DMC빌 앞,1096
송파구,학여울2팀,4880. 송파청소년센터,1096
양천구,개화4팀,714. 한국SGI 양천문화회관 앞,1097
중랑구,중랑3팀,1480. 용마지구대 옆,1102
종로구,훈련원1팀,3412.세운상가,1104
송파구,천호2팀,1256. 문정현대아파트 교차로,1106
서대문구,상암2팀,3110.홍은 현대아이파크 아파트 202동 앞,1106
광진구,중랑1팀,544. 광남중학교,1110
강남구,학여울2팀,3618. 서울율현초교 삼거리,1110
강북구,도봉4팀,1532. 번3동 주민센터 교차로,1110
은평구,상암3팀,960. 구파발역 환승센터,1111
도봉구,도봉3팀,1706. 기업은행 앞,1112
중구,세종로 4팀,399. 서울역 센트럴 자이아파트,1112
영등포구,영남1팀,4601.양평역2번출구 뒤,1113
